Date,IndiaAreaWeighted_tmax_C,Year,Month
1960-02-05,73.9338365241571,1960,2
1960-02-06,74.04028064501874,1960,2
1960-02-07,74.24959333785681,1960,2
1960-02-08,74.33511070131867,1960,2
1960-02-09,74.45845660909659,1960,2
1960-02-10,74.71440325709442,1960,2
1960-02-11,74.79193461460706,1960,2
1960-02-12,74.87845874509425,1960,2
1960-02-13,74.98719952070905,1960,2
1960-02-14,75.06813569227506,1960,2
1960-02-15,75.19465983251494,1960,2
1960-02-16,75.27507379012887,1960,2
1960-02-17,75.16971773204527,1960,2
1960-02-18,74.98051880565986,1960,2
1960-02-19,74.92978502718192,1960,2
1960-02-20,74.98824248935593,1960,2
1960-02-21,75.0446448334764,1960,2
1960-02-22,75.15094229614664,1960,2
1960-02-23,75.24951415186689,1960,2
1960-02-24,75.2264516889644,1960,2
1960-02-25,75.24082863542269,1960,2
1960-02-26,75.37683967797774,1960,2
1960-02-27,75.43761258108236,1960,2
1960-02-28,75.60385644132285,1960,2
1960-02-29,75.50310902497425,1960,2
1960-03-01,75.43112310309046,1960,3
1960-03-02,75.21224809799291,1960,3
1960-03-03,74.99169562573663,1960,3
1960-03-04,75.1314666759022,1960,3
1960-03-05,75.17803744882548,1960,3
1960-03-06,74.96102017883845,1960,3
1960-03-07,74.54917999096585,1960,3
1960-03-08,74.52206577208077,1960,3
1960-03-09,74.44515311027382,1960,3
1960-03-10,74.60749661965266,1960,3
1960-03-11,74.36606473629418,1960,3
1960-03-12,74.10201014352073,1960,3
1960-03-13,74.42329547201004,1960,3
1960-03-14,74.97252106462525,1960,3
